;CONSPRENAT;freq. relativa
0;0 a 2;0.008543801996271127
1;2 a 4;0.03985617451199875
2;4 a 6;0.09668468575866455
3;6 a 8;0.20911452832024488
4;8 a 10;0.2846439468911588
5;10 a 12;0.22655187859333623
6;12 a 14;0.08981729920487506
7;14 a 16;0.031000756468772216
8;16 a 18;0.0077921542880734765
9;18 a 20;0.003284459431622849
10;20 a 22;0.0019091413509673245
11;22 a 24;0.0004146115055131058
12;24 a 26;0.0001731200260863391
13;26 a 28;5.259342564648277e-05
14;28 a 30;2.27904844468092e-05
15;30 a 32;1.972253461743104e-05
16;32 a 34;3.944506923486208e-06
17;34 a 36;4.821064017594254e-06
18;36 a 38;2.4981877182079316e-05
19;38 a 40;6.398866786988738e-05
20;40 a 42;2.0599091711539086e-05
