;IDADEMAE;freq. relativa
0;8 a 11;2.6296712823241386e-06
1;11 a 14;0.0014673565755368692
2;14 a 17;0.03508595080586276
3;17 a 20;0.09813188152103693
4;20 a 23;0.1455150518001415
5;23 a 26;0.15398653783614868
6;26 a 29;0.14885867883561663
7;29 a 32;0.13414698284665422
8;32 a 35;0.1183650106457859
9;35 a 38;0.08815885318282264
10;38 a 41;0.053676850214800315
11;41 a 44;0.018809162125370454
12;44 a 47;0.0033221513866694952
13;47 a 50;0.0003664008653371633
14;50 a 53;8.064325265794024e-05
15;53 a 56;2.5858434276187364e-05
